UBIDPTO,REGION,ZONA,OCU,INFORM,SEXO,GEDUC,AEDUC,AEDAD,AEDAD2,WS,LWS,EXP,EXP2
13,SIERRA,RURAL,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,1,48,2304,151.35330025756144,5.019616840697857,1.5,2.25
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,6,49,2401,47.17804341530678,3.85392860248176,26,676
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,8,14,196,18.257519240395144,2.904577008346717,0.6,0.36
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,2,67,4489,128.29646989331243,4.854343756771606,1,1
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,2,37,1369,58.6657052062697,4.071855317706255,1,1
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,6,46,2116,26.293129074140488,3.2693076531176657,30,900
13,SIERRA,RURAL,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,5,41,1681,9.378074483774398,2.2383744630302234,2,4
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,6,35,1225,87.04924352116971,4.466473976011817,17,289
13,SIERRA,RURAL,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,11,26,676,11.736976654539736,2.4627442560676776,7,49
13,SIERRA,RURAL,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,5,43,1849,35.38353256148009,3.566246530029979,0.1,0.010000000000000002
13,SIERRA,RURAL,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,1,70,4900,141.608080046013,4.953063242103462,42,1764
13,SIERRA,RURAL,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,6,63,3969,72.84980501000616,4.288399856041972,29,841
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,11,29,841,75.63829399592275,4.325962689277877,0.1,0.010000000000000002
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,SECUNDARIA,8,41,1681,171.3789379612325,5.143877116239816,5,25
13,SIERRA,RURAL,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,7,40,1600,33.33147945357853,3.5065022793806886,1,1
13,SIERRA,RURAL,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,2,78,6084,55.105640843180474,4.009252085568315,40,1600
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,6,34,1156,9.147937686626559,2.2135284644436926,3,9
13,SIERRA,RURAL,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,0,69,4761,19.94518908614596,2.99298796569077,30,900
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,3,39,1521,49.49858945321415,3.9019441732739653,20,400
13,SIERRA,RURAL,OCUPADO,INFORMAL,FEMENINO,PRIMARIA,3,35,1225,7.038350379438045,1.9513738216099217,2,4
13,SIERRA,RURAL,OCUPADO,INFORMAL,FEMENINO,SECUNDARIA,8,15,225,175.47930782522644,5.167521131824918,0.2,0.04000000000000001
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,2,43,1849,194.55987326414527,5.27073994738031,20,400
13,SIERRA,RURAL,OCUPADO,INFORMAL,MASCULINO,PRIMARIA,2,44,1936,38.4903793229759,3.6504083223516894,20,400
